"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "YAML", "Ignore", "PostCSS", "XML", "HTML", "Markdown", "Svelte", "comment", "blank", "total"
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/entrance-examination-permit/+page.server.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 40
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/entrance-examination-permit/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 385, 2, 8, 395
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/forms/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 3, 11
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/leave-of-absence/+page.server.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 40
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/leave-of-absence/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 252, 1, 8, 261
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/request-for-transcript-of-records-or-f137-from-former-school/+page.server.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 40
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/request-for-transcript-of-records-or-f137-from-former-school/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 268, 3, 8, 279
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/request-form/+page.server.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 40
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/request-form/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 387, 8, 8, 403
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/requirement-to-enrolled/+page.server.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 40
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/requirement-to-enrolled/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 264, 3, 8, 275
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/signin/+page.server.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 41
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/signin/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 6, 118
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/student-portal/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 7, 5, 52
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/wayfinder/+page.server.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/wayfinder/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1005, 0, 11, 1016
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"/home/venice/Projects/capstone/cmu-kiosk-app/src/theme.postcss", "PostCSS", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 10, 1, 101
"/home/venice/Projects/capstone/cmu-kiosk-app/static/blueprints/floor-1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 384, 0, 0, 0, 0, 0, 384
"/home/venice/Projects/capstone/cmu-kiosk-app/static/blueprints/wayfinder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 476, 0, 0, 0, 0, 0, 476
"/home/venice/Projects/capstone/cmu-kiosk-app/static/events.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/home/venice/Projects/capstone/cmu-kiosk-app/static/keys/english.json", "JSON", 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 335
"/home/venice/Projects/capstone/cmu-kiosk-app/static/weather_conditions.json", "JSON", 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 291
"/home/venice/Projects/capstone/cmu-kiosk-app/svelte.config.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 4, 25
"/home/venice/Projects/capstone/cmu-kiosk-app/tailwind.config.cjs", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"/home/venice/Projects/capstone/cmu-kiosk-app/tests/test.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/venice/Projects/capstone/cmu-kiosk-app/tsconfig.json", "JSON with Comments", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 18
"/home/venice/Projects/capstone/cmu-kiosk-app/vite.config.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"Total", "-", 747, 691, 13, 62, 2923, 11, 131, 877, 12, 24, 6259, 298, 1049, 13097
